[2024-10-06 03:56:45,450] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,454] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,457] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,460] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,462] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,467] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,471] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,475] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,479] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,482] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,484] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,488] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,492] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,494] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,497] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,501] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 3152 with partition epoch 0, high watermark 3152, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,501] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,505] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,508] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,512] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,515] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,518] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,522] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,526] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,528] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,531] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,534] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,537] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,540] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,542] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,545] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,548] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,551] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(YxRC7yOUToKI7G5VxhLKLA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-10-06 03:56:45,562] INFO [Broker id=0] Finished LeaderAndIsr request in 182ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-10-06 03:56:45,565] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 8 with correlation id 2 (state.change.logger)
